Property	Function Abstraction	Thread	Namespace LUMP
Purpose	Callable code unit (one abstraction)	Live execution context (one thread)	Address-space root + NS Table + lazy-load host
Word 0	Header 0x1F	Header 0x1F	Header 0x1F
typ field	00 — callable	10 — clist-only	10 only
cw field	Code word count (≥ 0)	Always 0	Always 0
cc field	Compiler-chosen dep count	Always 12 (CR0–CR11)	None — NS Table only
Example header	0xF881_AC00 (Decimal, n=7 cw=107 cc=0)	0xF900_020C (n=8 cw=0 cc=12)	0xFF00_0003 (Boot.NS, n=14 cw=0 cc=3)
Entry point	PC = 1 on every CALL	Never — not callable	Never — not callable
Words 1..cw	CLOOMC code (dispatcher + methods)	Absent — cw = 0	Absent — cw = 0
Freespace zone	Compile-time fixed · all-zero · immutable	Dynamic 131 words — Stack ↓ and Heap ↑ collide	Words 1..NS_TABLE_START-1 · all-zero
C-list zone	Last cc words · dep E-GTs · compiler-set	Last 12 words · CR0–CR11 boot credentials	BINARY DATA (NS Table entries, not GT Word 0 slots)
Unique body	Code only	5 zones: Header · Caps · Stack · Free · Heap · DR	NS Table (N × 3-word entries: Live / Outform / NULL)
Physical scope	One lump region	One 256-word thread slot	Entire application address space
NS Table	None — uses parent NS	None — uses parent NS	IS the NS Table
Outform support	No — all deps must be Live at call time	No	Yes — Absent event → Locator fetch
Lazy load	Not applicable	Not applicable	Hosts the Locator; fetches from Home Base IDE
Issued by	Mint.Lump(base, n)	Mint.Thread(base, n)	Mint.Lump(base, n) or FPGA-embedded (Boot.NS)
Transient CR14	Code view (X) words 1..cw	Loaded into CR12	Not applicable
Transient CR6	C-list view (L) last cc words	Reconstructed on SWITCH	Not applicable
Issued GTs	One E-GT (caller holds)	E-GT (Scheduler) + RW-GT (Thread)	One E-GT (spans whole address range)
GC interaction	G bit in NS slot Word 3	G bits in all live CRs in Zone ①	G bits in all Live NS Table entries (Word 3)
CHANGE saves	Not applicable	CR12 · STO · DR0–DR15 · PC · FLAGS · CR14 · CR15	Not applicable (not a thread)
lumpSize	2^n compiler-chosen (64–16 384 words)	IDE defined 2^n (< 1024 words)	2^n IDE-chosen; Boot.NS = 2^14 = 16 384 words
Freespace verified by Mint	Yes — words cw+1..lumpSize-cc-1 all-zero	Zone ③ only (words 81..211); Zone ① skipped	Scan CRC per slot
Distribution format	*.lump.zip	*.thread.zip	*.namespace.zip with manifest.json
Simulator NS slot	Most slots (Salvation=4, Mint=6, …)	Slots 1 and 45	Slot 0 (Boot.NS)
CALL target?	Yes	No	No
